Accession	Virus Name	Virus Taxonomic ID	Host Taxonomic ID	Completeness	Isolate Collection date	Release date
PP411923.1	rhinovirus A67	185924	9606.0	COMPLETE	2023-09-06	2024-03-06T00:00:00Z
PP461522.1	Enterovirus B	138949	9606.0	COMPLETE	2023-03	2024-03-14T00:00:00Z
PP461523.1	Enterovirus B	138949	9606.0	COMPLETE	2023-05	2024-03-14T00:00:00Z
PP461524.1	Enterovirus B	138949	9606.0	COMPLETE	2023-08	2024-03-14T00:00:00Z
PP461525.1	Enterovirus B	138949	9606.0	COMPLETE	2023-09	2024-03-14T00:00:00Z
PP461526.1	Enterovirus B	138949	9606.0	COMPLETE	2023-06	2024-03-14T00:00:00Z
PP461527.1	Enterovirus B	138949	9606.0	COMPLETE	2023-06	2024-03-14T00:00:00Z
PP461528.1	Enterovirus B	138949	9606.0	COMPLETE	2023-04	2024-03-14T00:00:00Z
PP461529.1	Enterovirus B	138949	9606.0	COMPLETE	2023-07	2024-03-14T00:00:00Z
PP461530.1	Enterovirus B	138949	9606.0	COMPLETE	2023-07	2024-03-14T00:00:00Z
PP461531.1	Enterovirus B	138949	9606.0	COMPLETE	2023-07	2024-03-14T00:00:00Z
PP461532.1	Enterovirus B	138949	9606.0	COMPLETE	2023-07	2024-03-14T00:00:00Z
PP461533.1	Enterovirus B	138949	9606.0	COMPLETE	2023-07	2024-03-14T00:00:00Z
PP461534.1	Enterovirus B	138949	9606.0	COMPLETE	2023-07	2024-03-14T00:00:00Z
PP461535.1	Enterovirus B	138949	9606.0	COMPLETE	2023-04	2024-03-14T00:00:00Z
PP461538.1	Enterovirus B	138949	9606.0	COMPLETE	2023-04	2024-03-14T00:00:00Z
PP461539.1	Enterovirus B	138949	9606.0	COMPLETE	2023-03	2024-03-14T00:00:00Z
PP461540.1	Enterovirus B	138949	9606.0	COMPLETE	2023-12	2024-03-14T00:00:00Z
PP461541.1	Enterovirus B	138949	9606.0	COMPLETE	2023-03	2024-03-14T00:00:00Z
PP461542.1	Enterovirus B	138949	9606.0	COMPLETE	2023-03	2024-03-14T00:00:00Z
PP461543.1	Enterovirus B	138949	9606.0	COMPLETE	2023-08	2024-03-14T00:00:00Z
PP461544.1	Enterovirus A	138948	9606.0	COMPLETE	2023-05	2024-03-14T00:00:00Z
PP461545.1	Enterovirus C	138950	9606.0	COMPLETE	2023-04	2024-03-14T00:00:00Z
PP464875.1	Enterovirus B	138949	9606.0	COMPLETE	2023-03	2024-03-16T00:00:00Z
PP579970.1	Poliovirus 3	12086	9606.0	COMPLETE	2023-03-13	2024-04-15T00:00:00Z
PP621597.1	Enterovirus B	138949	9606.0	COMPLETE	2023	2024-04-20T00:00:00Z
PP621598.1	Enterovirus B	138949	9606.0	COMPLETE	2023	2024-04-20T00:00:00Z
PP621599.1	Enterovirus B	138949	9606.0	COMPLETE	2023	2024-04-20T00:00:00Z
PP621600.1	Enterovirus B	138949	9606.0	COMPLETE	2023	2024-04-20T00:00:00Z
PP621601.1	Enterovirus B	138949	9606.0	COMPLETE	2023	2024-04-20T00:00:00Z
PP621602.1	Enterovirus B	138949	9606.0	COMPLETE	2023	2024-04-20T00:00:00Z
PP621603.1	Enterovirus A	138948	9606.0	COMPLETE	2023	2024-04-20T00:00:00Z
PP621604.1	Enterovirus B	138949	9606.0	COMPLETE	2023	2024-04-20T00:00:00Z
PP621605.1	Enterovirus B	138949	9606.0	COMPLETE	2023	2024-04-20T00:00:00Z
PP621606.1	Enterovirus A	138948	9606.0	COMPLETE	2023	2024-04-20T00:00:00Z
PP621607.1	Enterovirus B	138949	9606.0	COMPLETE	2023	2024-04-20T00:00:00Z
PP621608.1	Enterovirus B	138949	9606.0	COMPLETE	2023	2024-04-20T00:00:00Z
PP621625.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621626.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621627.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621628.1	Enterovirus A	138948	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621629.1	Enterovirus A	138948	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621630.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621632.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621638.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621639.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621640.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621641.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621642.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621643.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621644.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621645.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621646.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621647.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621648.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621649.1	Enterovirus B	138949	9606.0	COMPLETE	2018	2024-04-20T00:00:00Z
PP621650.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621651.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621652.1	Enterovirus A	138948	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621653.1	Enterovirus A	138948	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621654.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621657.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621658.1	Enterovirus B	138949	9606.0	COMPLETE	2019	2024-04-20T00:00:00Z
PP621689.1	Enterovirus B	138949	9606.0	COMPLETE	2023	2024-04-20T00:00:00Z
PP621690.1	Enterovirus B	138949	9606.0	COMPLETE	2023	2024-04-20T00:00:00Z
PP621691.1	Enterovirus B	138949	9606.0	COMPLETE	2023	2024-04-20T00:00:00Z
PP858872.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2022-09-21	2024-06-18T00:00:00Z
PP858873.1	Coxsackievirus B5	12074	9606.0	COMPLETE	2023-09-26	2024-06-18T00:00:00Z
PP858874.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2022-06-15	2024-06-18T00:00:00Z
PP858875.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2022-11-05	2024-06-18T00:00:00Z
PP858876.1	Enterovirus A71	39054	9606.0	COMPLETE	2020-01-08	2024-06-18T00:00:00Z
PP858877.1	Enterovirus A71	39054	9606.0	COMPLETE	2024-03-26	2024-06-18T00:00:00Z
PP861087.1	Echovirus E18	47506	9606.0	COMPLETE	2023-07	2024-06-16T00:00:00Z
PP861090.1	Echovirus E18	47506	9606.0	COMPLETE	2023-10	2024-06-16T00:00:00Z
PP891437.1	Echovirus E18	47506	9606.0	COMPLETE	2019-06-21	2024-06-16T00:00:00Z
PP891438.1	Echovirus E18	47506	9606.0	COMPLETE	2019-07-20	2024-06-16T00:00:00Z
PP891439.1	Echovirus E18	47506	9606.0	COMPLETE	2019-06-27	2024-06-16T00:00:00Z
PP891440.1	Echovirus E18	47506	9606.0	COMPLETE	2019-08-30	2024-06-16T00:00:00Z
PP891441.1	Echovirus E18	47506	9606.0	COMPLETE	2022-05-18	2024-06-16T00:00:00Z
PP891442.1	Echovirus E18	47506	9606.0	COMPLETE	2022-05-29	2024-06-16T00:00:00Z
PP891443.1	Echovirus E18	47506	9606.0	COMPLETE	2022-06-28	2024-06-16T00:00:00Z
PP991503.1	Rhinovirus C	463676	9606.0	COMPLETE	2023-03	2024-07-14T00:00:00Z
PP991504.1	Rhinovirus C	463676	9606.0	COMPLETE	2023-03	2024-07-14T00:00:00Z
PP991506.1	Rhinovirus A	147711	9606.0	COMPLETE	2023-04	2024-07-14T00:00:00Z
PP991507.1	Rhinovirus A	147711	9606.0	COMPLETE	2023-04	2024-07-14T00:00:00Z
PP997254.1	rhinovirus A13	185893	9606.0	COMPLETE	1979	2024-07-17T00:00:00Z
PQ059262.1	Poliovirus 2	12083	9606.0	COMPLETE	2023	2024-07-29T00:00:00Z
PQ059263.1	Poliovirus 2	12083	9606.0	COMPLETE	2023	2024-07-29T00:00:00Z
PQ059264.1	Poliovirus 2	12083	9606.0	COMPLETE	2023	2024-07-29T00:00:00Z
PQ059265.1	Poliovirus 2	12083	9606.0	COMPLETE	2023	2024-07-29T00:00:00Z
PQ059266.1	Poliovirus 2	12083	9606.0	COMPLETE	2024	2024-07-29T00:00:00Z
PQ059267.1	Poliovirus 2	12083	9606.0	COMPLETE	2024	2024-07-29T00:00:00Z
PQ059268.1	Poliovirus 2	12083	9606.0	COMPLETE	2024	2024-07-29T00:00:00Z
PQ059269.1	Poliovirus 2	12083	9606.0	COMPLETE	2024	2024-07-29T00:00:00Z
PQ059270.1	Poliovirus 2	12083	9606.0	COMPLETE	2024	2024-07-29T00:00:00Z
PQ119790.1	Enterovirus B	138949	9606.0	COMPLETE	2022-10	2024-08-06T00:00:00Z
PQ130039.1	Coxsackievirus A2	33757	9606.0	COMPLETE	2020-02-03	2024-08-20T00:00:00Z
PQ130040.1	Coxsackievirus A2	33757	9606.0	COMPLETE	2021-01-07	2024-08-20T00:00:00Z
OP137272.1	Poliovirus 3	12086	9606.0	COMPLETE	1978	2023-01-28T00:00:00Z
OP137273.1	Poliovirus 3	12086	9606.0	COMPLETE	1978	2023-01-28T00:00:00Z
OP137274.1	Poliovirus 3	12086	9606.0	COMPLETE	1978	2023-01-28T00:00:00Z
OP137275.1	Poliovirus 3	12086	9606.0	COMPLETE	1980	2023-01-28T00:00:00Z
OP137276.1	Poliovirus 3	12086	9606.0	COMPLETE	1982	2023-01-28T00:00:00Z
OP137277.1	Poliovirus 3	12086	9606.0	COMPLETE	1983	2023-01-28T00:00:00Z
OP137278.1	Poliovirus 3	12086	9606.0	COMPLETE	1983	2023-01-28T00:00:00Z
OP137279.1	Poliovirus 3	12086	9606.0	COMPLETE	1987	2023-01-28T00:00:00Z
OP137280.1	Poliovirus 3	12086	9606.0	COMPLETE	1988	2023-01-28T00:00:00Z
OP137281.1	Poliovirus 3	12086	9606.0	COMPLETE	1988	2023-01-28T00:00:00Z
OP137282.1	Poliovirus 3	12086	9606.0	COMPLETE	1988	2023-01-28T00:00:00Z
OP137284.1	Poliovirus 3	12086	9606.0	COMPLETE	1974	2023-01-28T00:00:00Z
OP137285.1	Poliovirus 3	12086	9606.0	COMPLETE	1974	2023-01-28T00:00:00Z
OP137286.1	Poliovirus 3	12086	9606.0	COMPLETE	1974	2023-01-28T00:00:00Z
OP137287.1	Poliovirus 3	12086	9606.0	COMPLETE	1974	2023-01-28T00:00:00Z
OP137288.1	Poliovirus 3	12086	9606.0	COMPLETE	1975	2023-01-28T00:00:00Z
OP137289.1	Poliovirus 3	12086	9606.0	COMPLETE	1975	2023-01-28T00:00:00Z
OP137290.1	Poliovirus 3	12086	9606.0	COMPLETE	1975	2023-01-28T00:00:00Z
OP137291.1	Poliovirus 3	12086	9606.0	COMPLETE	1975	2023-01-28T00:00:00Z
OP137292.1	Poliovirus 3	12086	9606.0	COMPLETE	1975	2023-01-28T00:00:00Z
OP137293.1	Poliovirus 3	12086	9606.0	COMPLETE	1975	2023-01-28T00:00:00Z
OP137294.1	Poliovirus 3	12086	9606.0	COMPLETE	1975	2023-01-28T00:00:00Z
OP137295.1	Poliovirus 3	12086	9606.0	COMPLETE	1975	2023-01-28T00:00:00Z
OP137296.1	Poliovirus 3	12086	9606.0	COMPLETE	1975	2023-01-28T00:00:00Z
OP137297.1	Poliovirus 3	12086	9606.0	COMPLETE	1975	2023-01-28T00:00:00Z
OP137298.1	Poliovirus 3	12086	9606.0	COMPLETE	1975	2023-01-28T00:00:00Z
OP137299.1	Poliovirus 3	12086	9606.0	COMPLETE	1975	2023-01-28T00:00:00Z
OP137300.1	Poliovirus 3	12086	9606.0	COMPLETE	1975	2023-01-28T00:00:00Z
OP137301.1	Poliovirus 3	12086	9606.0	COMPLETE	1976	2023-01-28T00:00:00Z
OP137302.1	Poliovirus 3	12086	9606.0	COMPLETE	1976	2023-01-28T00:00:00Z
OP137303.1	Poliovirus 3	12086	9606.0	COMPLETE	1976	2023-01-28T00:00:00Z
OP137304.1	Poliovirus 3	12086	9606.0	COMPLETE	1976	2023-01-28T00:00:00Z
OP137305.1	Poliovirus 3	12086	9606.0	COMPLETE	1976	2023-01-28T00:00:00Z
OP137306.1	Poliovirus 3	12086	9606.0	COMPLETE	1976	2023-01-28T00:00:00Z
OP137307.1	Poliovirus 3	12086	9606.0	COMPLETE	1976	2023-01-28T00:00:00Z
OP137308.1	Poliovirus 3	12086	9606.0	COMPLETE	1976	2023-01-28T00:00:00Z
OP137309.1	Poliovirus 3	12086	9606.0	COMPLETE	1976	2023-01-28T00:00:00Z
OP137310.1	Poliovirus 3	12086	9606.0	COMPLETE	1977	2023-01-28T00:00:00Z
OP137311.1	Poliovirus 3	12086	9606.0	COMPLETE	1977	2023-01-28T00:00:00Z
OP137312.1	Poliovirus 3	12086	9606.0	COMPLETE	1977	2023-01-28T00:00:00Z
OP137313.1	Poliovirus 3	12086	9606.0	COMPLETE	1977	2023-01-28T00:00:00Z
OP137314.1	Poliovirus 3	12086	9606.0	COMPLETE	1978	2023-01-28T00:00:00Z
OP137315.1	Poliovirus 3	12086	9606.0	COMPLETE	1979	2023-01-28T00:00:00Z
OP137316.1	Poliovirus 3	12086	9606.0	COMPLETE	1979	2023-01-28T00:00:00Z
OP137317.1	Poliovirus 3	12086	9606.0	COMPLETE	1979	2023-01-28T00:00:00Z
OP137318.1	Poliovirus 3	12086	9606.0	COMPLETE	1979	2023-01-28T00:00:00Z
OP137319.1	Poliovirus 3	12086	9606.0	COMPLETE	1979	2023-01-28T00:00:00Z
OP137320.1	Poliovirus 3	12086	9606.0	COMPLETE	1981	2023-01-28T00:00:00Z
OP137321.1	Poliovirus 3	12086	9606.0	COMPLETE	1983	2023-01-28T00:00:00Z
OP137322.1	Poliovirus 3	12086	9606.0	COMPLETE	1986	2023-01-28T00:00:00Z
OP137323.1	Poliovirus 3	12086	9606.0	COMPLETE	1986	2023-01-28T00:00:00Z
OP137324.1	Poliovirus 3	12086	9606.0	COMPLETE	1988	2023-01-28T00:00:00Z
OP191657.1	Enterovirus A71	39054	9606.0	COMPLETE	2017-10-01	2022-09-05T00:00:00Z
OP207959.1	Echovirus E6	12062	9606.0	COMPLETE	2015-08-13	2023-01-28T00:00:00Z
OP207960.1	Coxsackievirus B5	12074	9606.0	COMPLETE	2015-08-19	2023-01-28T00:00:00Z
OP207961.1	Echovirus E30	41846	9606.0	COMPLETE	2015-08-19	2023-01-28T00:00:00Z
OP207962.1	Echovirus E30	41846	9606.0	COMPLETE	2015-10-19	2023-01-28T00:00:00Z
OP207963.1	Echovirus E9	12060	9606.0	COMPLETE	2016-06-07	2023-01-28T00:00:00Z
OP207965.1	Coxsackievirus B5	12074	9606.0	COMPLETE	2016-09-13	2023-01-28T00:00:00Z
OP207966.1	Coxsackievirus A9	12067	9606.0	COMPLETE	2016-10-25	2023-01-28T00:00:00Z
OP207967.1	Echovirus E6	12062	9606.0	COMPLETE	2017-09-25	2023-01-28T00:00:00Z
OP207968.1	Echovirus E6	12062	9606.0	COMPLETE	2017-09-14	2023-01-28T00:00:00Z
OP207970.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2019-10-01	2023-01-28T00:00:00Z
OP207971.1	Echovirus E3	47516	9606.0	COMPLETE	2019-08-02	2023-01-28T00:00:00Z
OP255972.1	Coxsackievirus A2	33757	9606.0	COMPLETE	2016-08-16	2023-07-01T00:00:00Z
OP255977.1	Coxsackievirus A16	31704	9606.0	COMPLETE	2018-10-31	2023-07-01T00:00:00Z
OP255989.1	Coxsackievirus A5	42786	9606.0	COMPLETE	2018-12-10	2023-07-01T00:00:00Z
OP255992.1	Coxsackievirus A4	42785	9606.0	COMPLETE	2018-12-21	2023-07-01T00:00:00Z
OP255994.1	Coxsackievirus A2	33757	9606.0	COMPLETE	2018-11-29	2023-07-01T00:00:00Z
OP255995.1	Coxsackievirus A4	42785	9606.0	COMPLETE	2018-12-13	2023-07-01T00:00:00Z
OP265178.1	Poliovirus 2	12083	9606.0	COMPLETE	2022	2022-08-19T00:00:00Z
OP293089.1	Coxsackievirus A16	31704	9606.0	COMPLETE	2014-06	2023-02-20T00:00:00Z
OP295397.1	enterovirus D68	42789	9606.0	COMPLETE	2021-11-06	2022-09-18T00:00:00Z
OP321139.1	enterovirus D68	42789	9606.0	COMPLETE	2022-07-08	2022-09-18T00:00:00Z
OP321140.1	enterovirus D68	42789	9606.0	COMPLETE	2022-07-13	2022-09-18T00:00:00Z
OP321141.1	enterovirus D68	42789	9606.0	COMPLETE	2022-07-25	2022-09-18T00:00:00Z
OP321142.1	enterovirus D68	42789	9606.0	COMPLETE	2022-07-27	2022-09-18T00:00:00Z
OP321143.1	enterovirus D68	42789	9606.0	COMPLETE	2022-07-16	2022-09-18T00:00:00Z
OP321144.1	enterovirus D68	42789	9606.0	COMPLETE	2022-07-27	2022-09-18T00:00:00Z
OP321145.1	enterovirus D68	42789	9606.0	COMPLETE	2022-07-22	2022-09-18T00:00:00Z
OP321146.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-06	2022-09-18T00:00:00Z
OP321147.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-06	2022-09-18T00:00:00Z
OP321148.1	enterovirus D68	42789	9606.0	COMPLETE	2022-07-27	2022-09-18T00:00:00Z
OP321149.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-02	2022-09-18T00:00:00Z
OP321150.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-02	2022-09-18T00:00:00Z
OP321151.1	enterovirus D68	42789	9606.0	COMPLETE	2022-07-29	2022-09-18T00:00:00Z
OP321152.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-07	2022-09-18T00:00:00Z
OP321153.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-14	2022-09-18T00:00:00Z
OP389245.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-19	2022-09-19T00:00:00Z
OP389246.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-20	2022-09-19T00:00:00Z
OP441383.1	Coxsackievirus B5	12074	9606.0	COMPLETE	2018-05-31	2023-09-06T00:00:00Z
OP441384.1	Coxsackievirus B5	12074	9606.0	COMPLETE	2014-07-07	2023-09-06T00:00:00Z
OP441385.1	Coxsackievirus B5	12074	9606.0	COMPLETE	2016-07-14	2023-09-06T00:00:00Z
OP441386.1	Coxsackievirus B5	12074	9606.0	COMPLETE	2013-07-13	2023-09-06T00:00:00Z
OP441388.1	Coxsackievirus B5	12074	9606.0	COMPLETE	2017-06-12	2023-09-06T00:00:00Z
OP441389.1	Coxsackievirus B5	12074	9606.0	COMPLETE	2017-01-01	2023-09-06T00:00:00Z
OP441390.1	Coxsackievirus B5	12074	9606.0	COMPLETE	2014-07-08	2023-09-06T00:00:00Z
OP441391.1	Coxsackievirus B5	12074	9606.0	COMPLETE	2013-06-28	2023-09-06T00:00:00Z
OP441392.1	Coxsackievirus B5	12074	9606.0	COMPLETE	2014-05-07	2023-09-06T00:00:00Z
OP441393.1	Coxsackievirus B5	12074	9606.0	COMPLETE	2018-05-21	2023-09-06T00:00:00Z
OP572035.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-16	2022-10-10T00:00:00Z
OP572036.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-17	2022-10-10T00:00:00Z
OP572037.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-17	2022-10-10T00:00:00Z
OP572038.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-15	2022-10-10T00:00:00Z
OP572039.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-16	2022-10-10T00:00:00Z
OP572040.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-16	2022-10-10T00:00:00Z
OP572041.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-14	2022-10-10T00:00:00Z
OP572042.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-27	2022-10-10T00:00:00Z
OP572043.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-28	2022-10-10T00:00:00Z
OP572044.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-25	2022-10-10T00:00:00Z
OP572045.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-20	2022-10-10T00:00:00Z
OP572046.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-23	2022-10-10T00:00:00Z
OP572047.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-22	2022-10-10T00:00:00Z
OP572048.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-26	2022-10-10T00:00:00Z
OP572049.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-25	2022-10-10T00:00:00Z
OP572050.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-26	2022-10-10T00:00:00Z
OP572051.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-27	2022-10-10T00:00:00Z
OP572052.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-27	2022-10-10T00:00:00Z
OP572054.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-03	2022-10-10T00:00:00Z
OP572055.1	enterovirus D68	42789	9606.0	COMPLETE	2022-07-20	2022-10-10T00:00:00Z
OP572056.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-22	2022-10-10T00:00:00Z
OP572057.1	enterovirus D68	42789	9606.0	COMPLETE	2022-08-20	2022-10-10T00:00:00Z
OP572058.1	enterovirus D68	42789	9606.0	COMPLETE	2022-09-01	2022-10-10T00:00:00Z
OP572059.1	enterovirus D68	42789	9606.0	COMPLETE	2022-07-30	2022-10-10T00:00:00Z
OP572061.1	enterovirus D68	42789	9606.0	COMPLETE	2022-07-24	2022-10-10T00:00:00Z
